
0.0625	    0.268249	 0.000154303	
0.1875	     1.95474	    0.224097	
0.3125	     17.5976	    0.259034	
0.4375	     50.9096	     1.31838	
0.5625	     72.7678	     1.39294	
0.6875	     105.851	     2.43238	
0.8125	      161.07	      2.6908	
0.9375	      196.84	     4.45857	
 1.062	     241.137	      6.3068	
 1.188	     242.985	     6.22788	
 1.312	     299.156	     8.30035	
 1.438	     347.187	     7.64076	
 1.562	     396.742	      10.717	
 1.688	     446.319	     9.85431	
 1.812	      481.33	     13.2067	
 1.938	      520.06	     10.3352	
 2.062	     551.939	     10.6832	
 2.188	     568.231	     12.9828	
 2.312	     583.811	      12.261	
 2.438	     611.124	     12.3533	
 2.562	     630.668	     12.2896	
 2.688	     634.225	     11.3232	
 2.812	     639.842	     12.5307	
 2.938	     645.741	     12.6839	
 3.062	     635.121	     12.4337	
 3.188	     623.684	     11.6253	
 3.312	     598.945	     12.3773	
 3.438	     569.036	      10.792	
 3.562	     520.968	     11.5362	
 3.688	     487.133	     11.9052	
 3.812	     442.652	     12.9624	
 3.938	     403.822	     14.1096	
 4.062	     348.207	      12.418	
 4.188	     317.788	     13.0568	
 4.312	     270.321	     12.9701	
 4.438	     228.138	     12.6158	
 4.562	     187.837	     11.2836	
 4.688	     158.253	     11.8872	
 4.812	     133.975	     12.0099	
 4.938	     111.293	     10.7163	
 5.062	     94.3666	     11.3924	
 5.188	     80.9751	     9.96648	
 5.312	     64.7691	      8.8825	
 5.438	     58.9513	     10.5713	
 5.562	     50.9606	     9.16631	
 5.688	     45.2983	     10.4825	
 5.812	     40.2825	     9.06014	
 5.938	     36.1942	     7.96465	
 6.062	     33.7723	     6.83846	
 6.188	     36.8248	      6.5929	
 6.312	      30.031	     7.77421	
 6.438	      30.424	     8.06482	
 6.562	       25.46	     6.62532	
 6.688	     26.9938	     6.66916	
 6.812	     27.6012	     7.20068	
 6.938	     26.3046	     6.17366	
 7.062	     24.0752	     4.79204	
 7.188	     25.1476	     4.85113	
 7.312	     24.6246	     5.10216	
 7.438	     25.4577	     4.37156	
 7.562	     25.0916	     6.16611	
 7.688	      21.929	     4.32816	
 7.812	     24.2766	     4.36401	
 7.938	     24.5012	     3.29754	
   8.5	     178.617	     33.7902	
   9.5	     184.725	     31.1567	
    11	     369.015	     55.0032	
    13	     300.673	     42.7518	
    15	     285.905	     36.5755	
    17	     222.867	     31.7341	
    19	     189.876	     27.9659	
    25	     669.131	     109.548	
    35	     78.0586	     13.0174	
    45	     11.2645	      1.3194	
    55	     9.97726	    0.394984	
    65	     5.92212	           0	
    75	     1.18148	           0	
    85	     0.43798	           0	
    95	    0.046646	           0	
   105	           0	           0	
--------------------------------------
Total:	     17896.9	     931.129	
